asset,symbol,timeframe,check,severity,message,metric,examples
GOLD,XAUUSD_PROXY_GC,4h,optional,INFO,"optional columns present but entirely NaN (dropped from the feature set): ['funding_rate', 'open_interest', 'spread', 'quote_volume', 'trades', 'taker_buy_volume', 'dxy', 'usdtry', 'benchmark']",,[]
GOLD,XAUUSD_PROXY_GC,4h,resample,WARN,46 4h bar (1.3%) was built from <75% of the expected 4 source bars (half days / holidays / maintenance halt),46.0,[]
GOLD,XAUUSD_PROXY_GC,4h,resample,INFO,resampled OHLC envelope matches the source,,[]
GOLD,XAUUSD_PROXY_GC,4h,freshness,INFO,last complete bar 7.9h old,,[]
GOLD,XAUUSD_PROXY_GC,4h,history,INFO,3606 bars / 2.40 years of history,,[]
GOLD,XAUUSD_PROXY_GC,4h,session,INFO,46 bars built from <75% of the expected 4 source bars,,[]
GOLD,XAUUSD_PROXY_GC,4h,session,INFO,grid anchored 18:00 in mode 'local' (America/New_York),,[]
GOLD,XAUUSD_PROXY_GC,4h,session,INFO,"distinct UTC hours used: [2, 3, 6, 7, 10, 11, 14, 15, 18, 19, 22, 23]",,[]
GOLD,XAUUSD_PROXY_GC,4h,mandated_caveat,WARN,GC=F ON-AY vadeli serisidir: roll gap duzeltmesi yapilmadan ham getiri serisi KULLANILAMAZ. Roll tespiti (gap > esik ATR) zorunludur. requires_adjustment=True oldugu icin duzeltme calistirilana kadar QC bu varligi 'model icin uygun DEGIL' olarak isaretler.,,[]
GOLD,XAUUSD_PROXY_GC,4h,mandated_caveat,WARN,Intraday gecmis ~2.4 yil ile sinirlidir (Yahoo 1h limiti 730 gun).,,[]
GOLD,XAUUSD_PROXY_GC,4h,mandated_caveat,WARN,"TESPIT (KARAR 3): 2026-01-30 15:00 UTC -> 2026-02-02 18:00 UTC arasinda 75 saatlik VERI KESINTISI var (normal hafta sonu 80 bar; burada Pazartesi 00:00-15:00 UTC de kayip). 2026-02-02 gunu yalnizca 5 bar gelmis (normal ~23). Kesintiyi atlayan -%7.97'lik getiri NE ROLL NE BAD PRINT'tir: SAHTE bir getiridir. BAR SILINMEZ, 'boslugu atlayan getiri' olarak isaretlenir ve getiri/roll hesaplarinda HARIC TUTULUR.",,[]
GOLD,XAUUSD_PROXY_GC,4h,mandated_caveat,WARN,"UYARI: 2026-01-26 .. 2026-02-06 penceresinde fiyat 5.626 -> 4.653 arasinda (yaklasik -%17) savruluyor ve gunluk hacim onceki donemin %38'ine dusuyor. Feed kalitesi bu pencerede DUSUK; ayni kesinti SILVER'da da birebir ayni tarihlerde goruluyor (Yahoo kaynakli ortak sorun). Bu doneme dayandirilan sonuclara guvenilmez, egitim/validasyonda ayrica isaretlenmelidir.",,[]
GOLD,XAUUSD_PROXY_GC,4h,corporate_actions,WARN,"adjclose, close ile %100.0 oraninda AYNI: bu seri kurumsal aksiyon duzeltmesi ICMERMIYOR (Yahoo intraday davranisi). Temettu/bolunme tespiti bu seriden YAPILAMAZ; GUNLUK serinin adjclose/close orani kullanilmalidir (adjust.corporate_actions_from_daily). Aksi halde bolunmeler SAHTE fiyat sicramasi olarak seriye girer.",,[]
GOLD,XAUUSD_PROXY_GC,4h,adjustment,INFO,"adjust pipeline CALISTI: 22 kesinti penceresi isaretlendi, 31 bar non-tradable, 32 getiri gecersiz sayildi, 10 roll adayi ISARETLENDI (fiyat duzeltmesi uygulandi=False). Bar SILINMEDI, bar UYDURULMADI.",,[]
GOLD,XAUUSD_PROXY_GC,4h,adjustment,WARN,"10 roll ADAYI yalnizca ISARETLENDI, fiyat DUZELTILMEDI. Sebep: Yahoo on-ay serisinde KONTRAT AYI kimligi yoktur, bu yuzden roll ile gercek ekstrem hareket kesin olarak AYIRT EDILEMEZ. close_adjusted == close_raw. Roll adaylari reports/adjust_evidence.md icinde listelenir ve INSAN INCELEMESI bekler. Kesin cozum: kontrat ayi kimligi olan bir continuous future kaynagi saglamak.",,[]
SILVER,XAGUSD_PROXY_SI,4h,schema,INFO,"canonical schema OK; optional columns present: ['quote_volume', 'trades', 'taker_buy_volume']",,[]
SILVER,XAGUSD_PROXY_SI,4h,timestamp,INFO,no duplicated timestamps,,[]
SILVER,XAGUSD_PROXY_SI,4h,timestamp,INFO,timestamps strictly increasing,,[]
SILVER,XAGUSD_PROXY_SI,4h,timestamp,INFO,"all bars aligned to the 4h grid anchored at 18:00 (local mode, tz=America/New_York). Distinct UTC hours: [2, 3, 6, 7, 10, 11, 14, 15, 18, 19, 22, 23]",,[]
SILVER,XAGUSD_PROXY_SI,4h,completeness,WARN,4.0% of expected 4h bars are missing,0.039936102236421724,[]
SILVER,XAGUSD_PROXY_SI,4h,completeness,INFO,"no gap larger than 50 bars (session-aware threshold, 6.0 bars/session)",,[]
SILVER,XAGUSD_PROXY_SI,4h,ohlc,INFO,OHLC envelope consistent on every bar,,[]
SILVER,XAGUSD_PROXY_SI,4h,continuity,INFO,no bar crosses an UNEXPECTED data gap: her getiri ya bitisik ya da seans takviminin normal bir boslugu (hafta sonu / gece arasi),,[]
SILVER,XAGUSD_PROXY_SI,4h,outlier,WARN,"1 bar with |log return| > 20% on a CONTIGUOUS pair (bad print, roll gap or genuine extreme move). AYRICA incelenmeli, ASLA SILINMEMELI.",1.0,['2026-02-02T15:00:00+00:00 r=-0.222']
SILVER,XAGUSD_PROXY_SI,4h,outlier,INFO,34 MAD(8) return outliers kept but flagged for review,34.0,[]
SILVER,XAGUSD_PROXY_SI,4h,volume,INFO,zero-volume bars: 0.03%,,[]
SILVER,XAGUSD_PROXY_SI,4h,volume,INFO,volume vs bar-range correlation = 0.477,,[]
SILVER,XAGUSD_PROXY_SI,4h,optional,INFO,"optional columns present but entirely NaN (dropped from the feature set): ['funding_rate', 'open_interest', 'spread', 'quote_volume', 'trades', 'taker_buy_volume', 'dxy', 'usdtry', 'benchmark']",,[]
SILVER,XAGUSD_PROXY_SI,4h,resample,WARN,47 4h bar (1.3%) was built from <75% of the expected 4 source bars (half days / holidays / maintenance halt),47.0,[]
SILVER,XAGUSD_PROXY_SI,4h,resample,INFO,resampled OHLC envelope matches the source,,[]
SILVER,XAGUSD_PROXY_SI,4h,freshness,INFO,last complete bar 7.9h old,,[]
SILVER,XAGUSD_PROXY_SI,4h,history,INFO,3606 bars / 2.40 years of history,,[]
SILVER,XAGUSD_PROXY_SI,4h,session,INFO,47 bars built from <75% of the expected 4 source bars,,[]
SILVER,XAGUSD_PROXY_SI,4h,session,INFO,grid anchored 18:00 in mode 'local' (America/New_York),,[]
SILVER,XAGUSD_PROXY_SI,4h,session,INFO,"distinct UTC hours used: [2, 3, 6, 7, 10, 11, 14, 15, 18, 19, 22, 23]",,[]
SILVER,XAGUSD_PROXY_SI,4h,mandated_caveat,WARN,SI=F ON-AY vadeli serisidir: roll gap duzeltmesi zorunludur. requires_adjustment=True oldugu icin duzeltme calistirilana kadar QC bu varligi 'model icin uygun DEGIL' olarak isaretler.,,[]
SILVER,XAGUSD_PROXY_SI,4h,mandated_caveat,WARN,Intraday gecmis ~2.4 yil ile sinirlidir (Yahoo 1h limiti 730 gun).,,[]
SILVER,XAGUSD_PROXY_SI,4h,mandated_caveat,WARN,"TESPIT (KARAR 3): 2026-02-02'deki tek barlik -%22 hareket incelendi. SONUC: bu NE ROLL NE BAD PRINT'tir. 2026-01-30 15:00 UTC -> 2026-02-02 18:00 UTC arasinda 75 saatlik VERI KESINTISI var (normal hafta sonu 80 bar; burada Pazartesi 00:00-15:00 UTC de kayip) ve 2026-02-02 gunu yalnizca 5 bar gelmis (normal ~23). Dolayisiyla -%22, veri boslugunu atlayan SAHTE bir getiridir. BAR SILINMEZ; 'boslugu atlayan getiri' olarak isaretlenir ve getiri/roll/label hesaplarinda HARIC TUTULUR.",,[]
SILVER,XAGUSD_PROXY_SI,4h,mandated_caveat,WARN,"UYARI: 2026-01-26 .. 2026-02-06 penceresinde fiyat 121.79 -> 66.88 arasinda (yaklasik -%45) savruluyor ve gunluk hacim onceki donemin %42'sine dusuyor. Ayni kesinti GOLD'da da birebir ayni tarihlerde var (Yahoo kaynakli ortak sorun). Bu pencerede feed kalitesi COK DUSUK; model egitimi/validasyonunda ayrica isaretlenmeli, sonuclar bu doneme dayandirilmamali.",,[]
SILVER,XAGUSD_PROXY_SI,4h,corporate_actions,WARN,"adjclose, close ile %100.0 oraninda AYNI: bu seri kurumsal aksiyon duzeltmesi ICMERMIYOR (Yahoo intraday davranisi). Temettu/bolunme tespiti bu seriden YAPILAMAZ; GUNLUK serinin adjclose/close orani kullanilmalidir (adjust.corporate_actions_from_daily). Aksi halde bolunmeler SAHTE fiyat sicramasi olarak seriye girer.",,[]
SILVER,XAGUSD_PROXY_SI,4h,adjustment,INFO,"adjust pipeline CALISTI: 22 kesinti penceresi isaretlendi, 31 bar non-tradable, 32 getiri gecersiz sayildi, 6 roll adayi ISARETLENDI (fiyat duzeltmesi uygulandi=False). Bar SILINMEDI, bar UYDURULMADI.",,[]
SILVER,XAGUSD_PROXY_SI,4h,adjustment,WARN,"6 roll ADAYI yalnizca ISARETLENDI, fiyat DUZELTILMEDI. Sebep: Yahoo on-ay serisinde KONTRAT AYI kimligi yoktur, bu yuzden roll ile gercek ekstrem hareket kesin olarak AYIRT EDILEMEZ. close_adjusted == close_raw. Roll adaylari reports/adjust_evidence.md icinde listelenir ve INSAN INCELEMESI bekler. Kesin cozum: kontrat ayi kimligi olan bir continuous future kaynagi saglamak.",,[]
BIST30,XU030_INDEX,4h,schema,INFO,"canonical schema OK; optional columns present: ['quote_volume', 'trades', 'taker_buy_volume']",,[]
BIST30,XU030_INDEX,4h,timestamp,INFO,no duplicated timestamps,,[]
BIST30,XU030_INDEX,4h,timestamp,INFO,timestamps strictly increasing,,[]
BIST30,XU030_INDEX,4h,timestamp,INFO,"all bars aligned to the 4h grid anchored at 10:00 (local mode, tz=Europe/Istanbul). Distinct UTC hours: [7, 11]",,[]
BIST30,XU030_INDEX,4h,completeness,WARN,4.7% of expected 4h bars are missing,0.04714475431606906,[]
BIST30,XU030_INDEX,4h,completeness,WARN,12 gaps larger than 18 bars (max 36 bars) - holidays/outages need review,12.0,"['2024-01-02T07:00:00+00:00 (+1 bars)', '2024-04-15T07:00:00+00:00 (+1 bars)', '2024-06-20T07:00:00+00:00 (+1 bars)', '2024-07-16T07:00:00+00:00 (+1 bars)', '2024-09-02T07:00:00+00:00 (+1 bars)']"
BIST30,XU030_INDEX,4h,ohlc,INFO,OHLC envelope consistent on every bar,,[]
BIST30,XU030_INDEX,4h,continuity,WARN,"9 bar (0.627%) BEKLENMEDIK bir veri boslugunu atliyor (kural: gap > modal_gap(dayofweek, local_hour) + 17 bars (seans bazlı: 24/7 ise 2 seans, değilse 8 seans; tavan 25 bar; bps=2.0)). Bu barlarin getirisi GERCEK GETIRI DEGILDIR: roll-gap/outlier tespiti, label uretimi ve backtest P/L hesabinda HARIC TUTULMALIDIR. Barlar SILINMEZ, isaretlenir. En buyuk sahte getiriler:",9.0,"['2024-06-20T07:00:00+00:00 r=+1.977% (bosluk 35 bar, tipik 5)', '2025-06-10T07:00:00+00:00 r=+1.529% (bosluk 30 bar, tipik 5)', '2025-05-20T07:00:00+00:00 r=-1.046% (bosluk 23 bar, tipik 5)', '2026-06-01T07:00:00+00:00 r=+1.034% (bosluk 36 bar, tipik 17)', '2025-04-02T07:00:00+00:00 r=-0.970% (bosluk 29 bar, tipik 5)']"
BIST30,XU030_INDEX,4h,outlier,INFO,no contiguous bar with |log return| > 20%,,[]
BIST30,XU030_INDEX,4h,outlier,INFO,8 MAD(8) return outliers kept but flagged for review,8.0,[]
BIST30,XU030_INDEX,4h,volume,WARN,KULLANICI KARARI: bu varlikta hacim verisi yoktur ve hacim/onay bacagi DEVRE DISIDIR (volume_required=False). Cift onay yalnizca trend + momentum ile sinirlidir; bu kisit tum raporlarda caveat olarak tasinar.,,[]
BIST30,XU030_INDEX,4h,volume,WARN,"volume is zero on every bar (beklenen durum: endeks serisi, hacim bacagi zaten devre disi)",1.0,[]
BIST30,XU030_INDEX,4h,optional,INFO,"optional columns present but entirely NaN (dropped from the feature set): ['funding_rate', 'open_interest', 'spread', 'quote_volume', 'trades', 'taker_buy_volume', 'dxy', 'usdtry', 'benchmark']",,[]
BIST30,XU030_INDEX,4h,resample,INFO,every 4h bar has the expected number of source bars (~4),,[]
BIST30,XU030_INDEX,4h,freshness,INFO,last complete bar 26.9h old,,[]
BIST30,XU030_INDEX,4h,history,WARN,only 1435 4h bars (2.89 years). Minimum for a trustworthy walk-forward study is 1500. Results on this asset will be statistically weak.,1435.0,[]
BIST30,XU030_INDEX,4h,session,INFO,0 bars built from <75% of the expected 4 source bars,,[]
BIST30,XU030_INDEX,4h,session,INFO,grid anchored 10:00 in mode 'local' (Europe/Istanbul),,[]
BIST30,XU030_INDEX,4h,session,INFO,"distinct UTC hours used: [7, 11]",,[]
BIST30,XU030_INDEX,4h,mandated_caveat,WARN,BIST30 dogrudan trade edilemez: XU030.IS endeksin kendisidir. Execution VIOp XU030 vadeli maliyet modeliyle VARSAYIMSAL olarak modellenir.,,[]
BIST30,XU030_INDEX,4h,mandated_caveat,WARN,Hacim verisi YOKTUR (her bar 0). Hacim/onay bacagi bu varlikta KULLANILMAZ; cift onay burada trend + momentum ile sinirlidir.,,[]
BIST30,XU030_INDEX,4h,mandated_caveat,WARN,"Gecmis sadece ~2.9 yil. 4H bar sayisi ~2.157 gorunur ama bunun ~721 adedi yalnizca 09:30 ACILIS ANI printini iceren INCE barlardir; TAM 4H bar sayisi ~1.436'ddir. BTC'nin 19.888 bariyla karsilastirildiginda istatistiksel guc COK DUSUKTUR; sonuclar yalnizca yon gosterir, kesinlik iddia edilemez.",,[]
BIST30,XU030_INDEX,4h,mandated_caveat,WARN,"Alternatif VIOp XU030 futures gecmisi bulunamadigi surece BIST30 backtest portfoyune ZORLA SOKULMAZ, izleme modunda kalir.",,[]
BIST30,XU030_INDEX,4h,mandated_caveat,WARN,"4H grid faz farki: BIST30 barlari 07/11 UTC'de, BTC barlari 00/04/08 UTC'de acilir. Bu yuzden varliklar arasi korelasyon YALNIZCA GUNLUK bazda hesaplanir; 4H seviyesinde ortak bar yoktur (n=0).",,[]
BIST30,XU030_INDEX,4h,portfolio,WARN,KULLANICI KARARI: bu varlik 'watch_only' modundadir. Sinyal uretilir ve raporlanir ama backtest/PORTFOY performansina ZORLA SOKULMAZ. Cekirdek portfoy: BTC + GOLD + SILVER.,,[]
BIST30,XU030_INDEX,4h,corporate_actions,WARN,"adjclose, close ile %100.0 oraninda AYNI: bu seri kurumsal aksiyon duzeltmesi ICMERMIYOR (Yahoo intraday davranisi). Temettu/bolunme tespiti bu seriden YAPILAMAZ; GUNLUK serinin adjclose/close orani kullanilmalidir (adjust.corporate_actions_from_daily). Aksi halde bolunmeler SAHTE fiyat sicramasi olarak seriye girer.",,[]
BIST30,XU030_INDEX,4h,adjustment,INFO,"adjust pipeline calisti (bu varlikta roll TANIM GEREGI imkansiz: 0 roll). 25 bar non-tradable isaretlendi, 26 getiri gecersiz sayildi.",,[]
